Species	Status	min_age	max_age
Ichthyosaurus_somersetensis	extinct	201.16	201.36
Ichthyosaurus_somersetensis	extinct	201.16	201.36
Ichthyosaurus_somersetensis	extinct	201.16	201.36
Ichthyosaurus_communis	extinct	196.54	200.16
Ichthyosaurus_communis	extinct	196.54	200.16
Ichthyosaurus_communis	extinct	196.54	200.16
Ichthyosaurus_communis	extinct	196.54	200.16
Ichthyosaurus_communis	extinct	196.54	200.16
Ichthyosaurus_communis	extinct	196.54	200.16
Ichthyosaurus_communis	extinct	196.54	200.16
Ichthyosaurus_communis	extinct	196.54	200.16
Ichthyosaurus_communis	extinct	196.54	200.16
Ichthyosaurus_communis	extinct	196.54	200.16
Ichthyosaurus_communis	extinct	196.54	200.16
Ichthyosaurus_communis	extinct	196.54	200.16
Protoichthyosaurus_prostaxalis	extinct	201.16	201.36
Protoichthyosaurus_prostaxalis	extinct	201.16	201.36
Protoichthyosaurus_prostaxalis	extinct	201.16	201.36
Protoichthyosaurus_prostaxalis	extinct	201.16	201.36
Protoichthyosaurus_prostaxalis	extinct	201.16	201.36
Protoichthyosaurus_prostaxalis	extinct	201.16	201.36
Protoichthyosaurus_prostaxalis	extinct	201.16	201.36
Protoichthyosaurus_prostaxalis	extinct	201.16	201.36
Protoichthyosaurus_prostaxalis	extinct	201.16	201.36
Protoichthyosaurus_prostaxalis	extinct	201.16	201.36
Protoichthyosaurus_prostaxalis	extinct	201.16	201.36
Protoichthyosaurus_prostaxalis	extinct	201.16	201.36
Protoichthyosaurus_prostaxalis	extinct	201.16	201.36
Protoichthyosaurus_prostaxalis	extinct	201.16	201.36
Protoichthyosaurus_prostaxalis	extinct	196.54	200.16
Protoichthyosaurus_applebyi	extinct	174.15	201.36
Protoichthyosaurus_applebyi	extinct	197.95	199.36
Protoichthyosaurus_applebyi	extinct	196.54	200.16
Leninia_stellans	extinct	123.88	126.01
Leptonectes_solei	extinct	194.65	195.12
Leptonectes_solei	extinct	194.18	195.59
Leptonectes_moorei	extinct	189.52	189.82
Leptonectes_tenuirostris	extinct	201.16	201.36
Leptonectes_tenuirostris	extinct	201.16	201.36
Leptonectes_tenuirostris	extinct	201.16	201.36
Leptonectes_tenuirostris	extinct	201.16	201.36
Leptonectes_tenuirostris	extinct	201.16	201.36
Leptonectes_tenuirostris	extinct	201.16	201.36
Leptonectes_tenuirostris	extinct	201.16	201.36
Leptonectes_tenuirostris	extinct	201.16	201.36
Leptonectes_tenuirostris	extinct	201.16	201.36
